扁豆,1181595,1186,蔬菜,冀,2021-09-21 00:00:00
豇豆,1181594,1186,蔬菜,冀鲁,2021-09-21 00:00:00
白不老,1181593,1186,蔬菜,辽冀,2021-09-21 00:00:00
油豆,1181592,1186,蔬菜,辽冀,2021-09-21 00:00:00
毛豆,1181591,1186,蔬菜,云川,2021-09-21 00:00:00
玉米,1181590,1186,蔬菜,冀,2021-09-21 00:00:00
花生,1181589,1186,蔬菜,苏皖,2021-09-21 00:00:00
苦瓜,1181588,1186,蔬菜,冀鲁,2021-09-21 00:00:00
丝瓜,1181587,1186,蔬菜,冀豫鲁,2021-09-21 00:00:00
瓠子,1181586,1186,蔬菜,冀,2021-09-21 00:00:00
西葫芦,1181585,1186,蔬菜,冀,2021-09-21 00:00:00
佛手瓜,1181584,1186,蔬菜,,2021-09-21 00:00:00
贝贝南瓜,1181583,1186,蔬菜,蒙,2021-09-21 00:00:00
金丝南瓜,1181582,1186,蔬菜,冀鲁,2021-09-21 00:00:00
板栗南瓜,1181581,1186,蔬菜,新蒙,2021-09-21 00:00:00
南北瓜,1181580,1186,蔬菜,桂,2021-09-21 00:00:00
尖椒,1181579,1186,蔬菜,冀晋鲁,2021-09-21 00:00:00
红尖椒,1181578,1186,蔬菜,,2021-09-21 00:00:00
美人椒,1181577,1186,蔬菜,,2021-09-21 00:00:00
螺丝椒,1181576,1186,蔬菜,,2021-09-21 00:00:00
毛豆,1182035,1186,蔬菜,云川,2021-09-22 00:00:00
玉米,1182034,1186,蔬菜,冀,2021-09-22 00:00:00
花生,1182033,1186,蔬菜,苏皖,2021-09-22 00:00:00
苦瓜,1182032,1186,蔬菜,冀鲁,2021-09-22 00:00:00
丝瓜,1182031,1186,蔬菜,冀豫鲁,2021-09-22 00:00:00
瓠子,1182030,1186,蔬菜,冀,2021-09-22 00:00:00
西葫芦,1182029,1186,蔬菜,冀,2021-09-22 00:00:00
佛手瓜,1182028,1186,蔬菜,,2021-09-22 00:00:00
贝贝南瓜,1182027,1186,蔬菜,蒙,2021-09-22 00:00:00
金丝南瓜,1182026,1186,蔬菜,冀鲁,2021-09-22 00:00:00
板栗南瓜,1182025,1186,蔬菜,新蒙,2021-09-22 00:00:00
南北瓜,1182024,1186,蔬菜,桂,2021-09-22 00:00:00
尖椒,1182023,1186,蔬菜,冀晋鲁,2021-09-22 00:00:00
红尖椒,1182022,1186,蔬菜,,2021-09-22 00:00:00
美人椒,1182021,1186,蔬菜,,2021-09-22 00:00:00
螺丝椒,1182020,1186,蔬菜,,2021-09-22 00:00:00
柿子椒,1182019,1186,蔬菜,鲁,2021-09-22 00:00:00
线椒,1182018,1186,蔬菜,鲁琼,2021-09-22 00:00:00
杭椒,1182017,1186,蔬菜,辽,2021-09-22 00:00:00
小米椒,1182016,1186,蔬菜,滇,2021-09-22 00:00:00
鸡翅尖,1181775,1189,肉禽蛋,,2021-09-22 00:00:00
鸡翅中,1181774,1189,肉禽蛋,,2021-09-22 00:00:00
鸡翅根,1181773,1189,肉禽蛋,,2021-09-22 00:00:00
鸡边腿,1181772,1189,肉禽蛋,,2021-09-22 00:00:00
鸡排腿,1181771,1189,肉禽蛋,,2021-09-22 00:00:00
鸡琵琶腿,1181770,1189,肉禽蛋,,2021-09-22 00:00:00
